1960/01/11	行政院長陳誠宣布，限期三個月清理軍用土地。
1960/01/14	希臘恢復駐臺大使館（11月18日，首任駐華大使顧思達（Dwight David Eisenhower）呈遞到任國書。）。
1960/01/15	行政院美援運用委員會成立工業發展投資研究小組；越南總統吳廷琰訪華（1月9日，發表聯合公報，促自由世界抵制共黨侵略。）。
1960/01/22	臺灣銀行開始貸放災區土地重劃復耕貸款，總額新臺幣1,900餘萬元。
1960/01/25	行政院長陳誠主持水災重建小組檢討會議，籌劃運用軍工長期支援經建。
1960/01/26	中國大陸災胞救濟總會宣佈10年來已空投中國大陸4,000餘萬噸物資。
1960/01/29	土中友好協會在土耳其安卡拉成立。
1960/02/01	《自由中國》社論「敬向蔣總統作最後之忠告」，要求蔣中正不再連任。
1960/02/12	大法官會議解釋：憲法所稱國民大會代表總額，在當前情形，應以依法選出而能應召集之國民大會代表人數為計算標準。
1960/02/16	臺灣海峽上空空軍巡邏機4架迎戰中共米格機10餘架，解放軍機1架被擊落。
1960/02/17	中國國民黨中央常會通過國民大會代表黨團所提「修正動員戡亂時期臨時條款以鞏固國家領導中心案」。
1960/02/20	第一屆國民大會第三次會議在臺北揭幕（3月11日，通過修正並公布「動員戡亂時期臨時條款」，總統連任次數無限制。3月19日，通過成立「國民大會憲政討論委員會」。3月25日，閉幕。）。
1960/02/28	王育德於日本成立台獨運動組織台灣青年社。
1960/03/03	中國國民黨總裁蔣中正召見黨籍國大代表，因憲法修改及動員戡亂時期臨時條款修正問題，國大代表出現出現對立及鬥毆，蔣中正勉其貫徹黨之決策，並再申不修憲法主張。
1960/03/21	國民大會選舉蔣中正為中華民國第三任總統（3月22日，陳誠當選連任副總統。）。
1960/03/29	教育廣播電臺正式開播。
1960/04/24	臺灣省投票選舉第二屆省議員及第四屆縣市長（6月2日，黃朝琴、謝東閔當選正副議長。）。國民黨取得20席，基隆市由民社黨林番王當選。
1960/04/25	中部橫貫公路全線完工。
1960/05/09	中部橫貫公路開放通車。
1960/05/27	8時5分，臺糖南投車站遭到彰化客運汽車失控撞毀，當時人在站房內的副站長不幸罹難。
1960/05/30	在海地首都太子港設立公使館。
1960/06/17	中共下午對金門地區各島全面砲擊五十分鐘，共落彈三萬餘發；
1960/06/18	美國總統德懷特·大衛·艾森豪訪台，演説中強調決不承認中共（6月19日，發表聯合公報，保證繼續合作抵禦中共挑釁。）。同日零時起，共軍對金門砲擊四十五分鐘，落彈五萬餘發。
1960/06/19	中國人民解放軍再度三次砲擊，落彈近九萬發，合計三日，共軍射擊十七萬餘發砲彈。这是金门自823战役以来，遭受大陆炮击最惨重的一次。
1960/09/03	中華民國與古巴斷交。
1960/09/04	《自由中國》雜誌社社長雷震等人因涉嫌叛亂，遭警備總部逮捕（9月6日，警總宣布，劉子英是匪諜，雷震涉及在內。9月26日，雷震等以涉嫌叛亂被起訴。10月8日，宣判，雷震處刑10年，劉子英12年，馬之驌5年。）。
1960/09/06	楊傳廣榮獲羅馬奧運田徑十項全能銀牌。
1960/10/21	中華民國與馬利共和國斷交。
